,name,commodity
658,Wheaton Precious Metals Corp.,Gold
659,White Gold Corp.,Gold
660,White Rock Minerals,Gold
661,Wildsky Resources Inc.,Gold
662,Windfall Geotek Inc.,Gold
663,Xiana Mining Inc.,Gold
664,Ximen Mining Corp.,Gold
665,X-Terra Resources,Gold
666,Yamana Gold Inc.,Gold
667,Yorbeau Resources Inc.,Gold
668,Yukon Mining Alliance,Gold
669,Zephyr Minerals Ltd.,Gold
670,Altius Minerals Corp.,Iron ore
671,Anglo American,Iron ore
672,BHP,Iron ore
673,Century Global Commodities Corporation,Iron ore
674,FPX Nickel Corp.,Iron ore
675,Mira Stone Ltd,Iron ore
676,Mississauga Mining,Iron ore
677,Monument Mining Limited,Iron ore
678,Panthera Resources Plc,Iron ore
679,Rio Tinto,Iron ore
680,Vale Canada Limited,Iron ore
681,Adriatic Metals Plc,Lead
682,Adventus Mining Corporation,Lead
683,Affinity Metals  Corp,Lead
684,Aftermath Silver Ltd,Lead
685,Alexco Resource Corp.,Lead
686,Americas Gold and Silver,Lead
687,Ascendant Resources Inc.,Lead
688,Avino Silver & Gold Mines Ltd.,Lead
689,Azure Minerals Limited,Lead
690,BeMetals Corp.,Lead
691,Blind Creek Resources Ltd.,Lead
692,Cerro de Pasco Resources Inc.,Lead
693,CVK Mining Group,Lead
694,Discovery Group,Lead
695,Eagle Plains Resources Ltd.,Lead
696,EMX Royalty Corp.,Lead
697,Geophysx Jamaica Ltd,Lead
698,Globmine LLP,Lead
699,Golden Arrow Resources,Lead
700,GR Sliver Mining Ltd.,Lead
701,Hecla Mining Company,Lead
702,International Millennium Mining Corp.,Lead
703,Klondike Silver Corp.,Lead
704,Kootenay Silver Inc.,Lead
705,Lundin Group,Lead
706,MANAGEM Group,Lead
707,Manex Resource Group Inc.,Lead
708,Maya Gold & Silver Inc.,Lead
709,Metallic Group of Companies,Lead
710,Mira Stone Ltd,Lead
711,Murchison Minerals Ltd.,Lead
712,NorZinc Ltd,Lead
713,Patagonia Exploracion S.A.,Lead
714,Peel Mining Ltd.,Lead
715,Prophecy Development Corp.,Lead
716,Red Cloud Securities Inc.,Lead
717,ROKMASTER Resources Corp.,Lead
718,ScoZinc Mining Ltd.,Lead
719,Sierra Metals Inc.,Lead
720,Silvercorp Metals Inc.,Lead
721,South32 Limited,Lead
722,Sphinx Resources Ltd.,Lead
723,Strategic Exploration Group,Lead
724,Stuhini Exploration Ltd.,Lead
725,Telson Mining Corporation,Lead
726,Tethyan Resource Corp.,Lead
727,Trevali Mining Corporation,Lead
728,Valoriza Mineria SL,Lead
729,Western Alaska Copper and Gold,Lead
730,White Rock Minerals,Lead
731,Yukon Mining Alliance,Lead
732,Altius Minerals Corp.,Nickel
