name,exchange,symbol,stock,add,country
Jamaica Stock Exchange,,,,"40 Harbour St, Kingston",jm
Jameson Resources Limited,Sydney (ASX),JAL ,0.19 CDN,"62 Ord St, West Perth WA 6005",au
Japan Gold Corp.,TSX-Venture/OTCQX ,JG/JGLDF,0.27 CDN,"669 Howe St, Vancouver, BC V6C 0B4",ca
K92 Mining Inc.,TSX-Venture ,KNT,3.85 CDN,"1090 W Georgia St, Vancouver, BC V6E 3V7",ca
Kalo Exploration Ltd,Private ,,,"Silas Ramjan St, Labasa",fj
Keras Resources plc,London (AIM) ,KRS,0.17 GBX,"27/28 Eastcastle St, London, UK W1W 8DH",gb
Kerr Mines Inc.,TSE/OTCQX,KER/KERMF,0.15 CDN,"18 King St, Toronto, ON M5C 1C4",ca
Kesselrun Resources Ltd.,TSX-Venture ,KES,0.05 CDN,"278 Bay St, Thunder Bay, ON P7B 1R8",ca
Kingsgate Consolidated Limited,Sydney (ASX),KCN,0.56 AUS ,"20 Bond St, Sydney, NSW 2000",au
Kinross Gold Corporation,TSE/NYSE,K/KCG,6.71 CDN,"25 York St, Toronto, ON M5J 2V5",ca
Kirkland Lake Gold Ltd.,TSE/NYSE/Sydney(ASX) ,KL/KLA ,54.27 CDN,"200 Bay St, Toronto, ON M5J 2J1",ca
Klondike Silver Corp.,TSX-Venture/FSE,KS/K1SN,0.04 CDN,"750 W Pender St, Vancouver, BC V6C 2T7",ca
Kootenay Silver Inc.,,,,,
Kopy Goldfields AB,FRA,0KR,0.10 Euros,"Skeppargatan 27, 114 52 Stockholm",se
Kutcho Copper Corp.,TSX-Venture/OTCQX ,KC/KCCFF,0.20 CDN,"1030 W Georgia St, Vancouver, BC V6E 2Y3",ca
Lara Exploration Ltd.,TSX-Venture,LRA,0.59 CDN,"543 Granville St, Vancouver, BC V6C 1X8",ca
Largo Resources Ltd.,TSE/OTCQX,LSO/LGORF,1.05 CDN,"55 University Ave, Toronto, ON M5J 2H7",ca
