name,commodity
Canadian Securities Exchange,Other
Century Global Commodities Corporation,Other
Constantine Metal Resources Ltd.,Other
CVK Mining Group,Other
Desert Mountain Energy Corp.,Other
Earthmetrix Inc.,Other
Exiro Minerals Corp.,Other
Globex Mining Enterprises Inc.,Other
Gold Group Management Inc.,Other
Goldmoney Inc.,Other
High Power Exploration,Other
HPQ Silicon Resources,Other
Hudson Resources Inc.,Other
Jamaica Stock Exchange,Other
Jameson Resources Limited,Other
Latin Metals Inc.,Other
Market Making Services Inc.,Other
Maya Gold & Silver Inc.,Other
Metals Group Inc.,Other
Mira Stone Ltd,Other
Montero Mining & Exploration Ltd.,Other
"Morefield Gem Mine, Inc.",Other
Neo Lithium Corp.,Other
New Age Metals,Other
NioBay Metals Inc.,Other
Noront Resources Ltd.,Other
Nouveau Monde Graphite,Other
OTC Markets Group,Other
Red Metal Resources Ltd.,Other
Resource Capital Funds,Other
Reunion Gold Corporation,Other
Richardson GMP - Alexandra Horwood,Other
ROKMASTER Resources Corp.,Other
Romios Gold Resources Inc.,Other
Sidex,Other
Spirit Mining LLC,Other
Sprott Group of Companies,Other
SQM,Other
Steppe Gold Limited,Other
Stuhini Exploration Ltd.,Other
Toronto Stock Exchange,Other
Transition Metals Corp.,Other
UEX Corporation,Other
Valoriza Mineria SL,Other
VanadiumCorp Resource Inc.,Other
Victory Nickel Inc.,Other
Vior Inc.,Other
Vulcan Minerals Inc.,Other
Western Uranium & Vanadium Corp.,Other
Zen Graphene Solutions,Other
Zimtu Capital Corp.,Other
Anglo American,PGM
Balmoral Resources Ltd.,PGM
Discovery Group,PGM
Eagle Plains Resources Ltd.,PGM
Eastfield Resources Ltd.,PGM
Forum Energy Metals Corp.,PGM
Generation Mining Limited,PGM
Globex Mining Enterprises Inc.,PGM
Golden Arrow Resources,PGM
Goldspot Discoveries Inc.,PGM
Gossan Resources Limited,PGM
Grid Metals Corp.,PGM
